year_month,date,code,close,peTTM,turn,tradestatus,pctChg,PE_inv,market_cap,roe,div_ratio,profit_growth,Quality,return,excess_return,next_excess_return,mkt_excess,SMB,year_month_str
2022-10,2022-10-31,sh.603501,73.37,27.968732,1.9824,1,2.3291,0.0357542129546666,40461593936.38121,0.1722171705989972,-4.777963379034786e-05,0.2940523047105218,-2.4196015509434808e-06,-0.0843629102708097,-0.0858629102708097,0.1064460269865066,-0.0447839608509549,40461593936.38121,2022-10
2022-11,2022-11-30,sh.603501,81.29,30.987845,0.7219,1,0.2096,0.0322707177604638,48498848418.49391,0.0163797737093823,0.0321437292956483,0.306099504137572,0.0001611635353098,0.1079460269865066,0.1064460269865066,-0.0531668716939353,0.0876148864228643,48498848418.49391,2022-11
2022-12,2022-12-30,sh.603501,77.09,29.3868,0.6939,1,-1.0652,0.0340288837164985,46803020926.72598,0.1193574158030453,0.0366600425889808,0.0410917638089902,0.000179803091935,-0.0516668716939353,-0.0531668716939353,0.2199294979893629,-0.0211987607126414,46803020926.72598,2022-12
2023-01,2023-01-31,sh.603501,94.16,35.868507,1.2401,1,-2.2222,0.0278796103779842,42329054564.914,0.1000279996169847,0.036531260317261,0.2728295388075466,0.0009969597572175,0.2214294979893629,0.2199294979893629,-0.0886920135938827,0.052367726614861,42329054564.914,2023-01
2023-02,2023-02-28,sh.603501,85.95,32.74106,0.6392,1,0.5851,0.0305426885995749,44644570965.47048,0.1413226555429381,0.0243384185280349,-0.017391207939766,-5.981827601681916e-05,-0.0871920135938827,-0.0886920135938827,0.0584185573007561,0.0058521290185134,44644570965.47048,2023-02
2023-03,2023-03-31,sh.603501,91.1,34.702857,0.8093,1,0.8189,0.0288160712531535,44963990798.25807,0.0627510616257472,0.0354242295055994,0.4147524125670579,0.0009219564595438,0.0599185573007561,0.0584185573007561,0.0001465422612514,-0.0035566804182198,44963990798.25807,2023-03
2023-04,2023-04-28,sh.603501,91.25,369.151693,1.02,1,1.1192,0.0027089134872259,46667683044.26528,0.0580195813979664,0.0394193413957032,-0.0098272401712929,-2.247581895406033e-05,0.0016465422612514,0.0001465422612514,0.0931849315068494,0.0139037743500319,46667683044.26528,2023-04
2023-05,2023-05-31,sh.603501,99.89,404.104796,0.8029,1,2.4093,0.0024746056218545,42241877886.64213,0.0661964642353195,0.0446992963150396,0.2205499217251026,0.0006525929642128,0.0946849315068494,0.0931849315068494,-0.0200203724096505,-0.0372208519572833,42241877886.64213,2023-05
2023-06,2023-06-30,sh.603501,98.04,396.850916,0.3359,1,-0.0612,0.0025198379534545,46449708187.50954,0.0714035726900783,0.0646688267876852,0.112478171071144,0.0005193775464201,-0.0185203724096505,-0.0200203724096505,0.0450116279069766,-0.0022807925470307,46449708187.50954,2023-06
2023-07,2023-07-31,sh.603501,102.6,414.494011,0.5479,1,0.9346,0.0024125800939497,42838021422.38116,0.1407662083404507,0.0346838830299641,-0.0533789028475202,-0.0002606128158062,0.0465116279069766,0.0450116279069766,-0.1046189083820662,0.0262875605355961,42838021422.38116,2023-07
2023-08,2023-08-31,sh.603501,92.02,-96.636206,0.4031,1,0.338,-0.0103480883759033,41102757243.58936,0.040939941342556,0.031280976900354,0.3301831523570618,0.0004228462010981,-0.1031189083820662,-0.1046189083820662,0.009801890893284,-0.0535089121985093,41102757243.58936,2023-08
2023-09,2023-09-28,sh.603501,93.06,-97.728378,0.3867,1,0.086,-0.0102324424129908,45639352459.05773,0.068869305002034,0.0118654206929981,0.0271736382266417,2.2205299252695532e-05,0.011301890893284,0.009801890893284,0.1838642811089619,-0.0045132924496624,45639352459.05773,2023-09
2023-10,2023-10-31,sh.603501,110.31,-165.090857,1.472,1,-0.7111,-0.0060572706337092,46887185145.59514,0.0105493804749279,0.0387189264779867,-0.1900144329956613,-7.761342584076157e-05,0.1853642811089619,0.1838642811089619,-0.0202652977971173,-0.0309825359969905,46887185145.59514,2023-10
2023-11,2023-11-30,sh.603501,108.24,-166.330066,0.5785,1,0.0185,-0.0060121421463272,49743811328.66745,0.1503558911706186,0.0433476620628113,-0.426402672633606,-0.0022838789839924,-0.0187652977971173,-0.0202652977971173,-0.0156352549889135,0.0021114370532163,49743811328.66745,2023-11
2023-12,2023-12-29,sh.603501,106.71,-163.978948,0.8031,1,-1.966,-0.0060983437947168,41402562779.77582,0.163551504971557,0.0261539363143674,-0.0250089388855941,-0.0001069761273516,-0.0141352549889135,-0.0156352549889135,-0.1932346078155748,-0.0195672651537573,41402562779.77582,2023-12
