year_month,date,code,close,peTTM,turn,tradestatus,pctChg
2015-01,2015-01-30,sh.600031,8.1400,40.825502,1.283597,1,-2.280900
2015-02,2015-02-27,sh.600031,8.5200,42.731361,1.688098,1,-1.274600
2015-03,2015-03-31,sh.600031,10.1300,50.806184,7.271458,1,-2.408500
2015-04,2015-04-30,sh.600031,10.3800,-915.366762,3.289195,1,-0.669900
2015-05,2015-05-29,sh.600031,13.0200,-1148.176806,7.274349,1,0.852100
2015-06,2015-06-30,sh.600031,9.6900,-854.518683,3.656085,1,6.835700
2015-07,2015-07-31,sh.600031,7.6100,-671.092588,1.577907,1,0.928400
2015-08,2015-08-31,sh.600031,6.9000,-161.465271,1.759671,1,1.470600
2015-09,2015-09-30,sh.600031,6.3600,-148.828858,0.421413,1,0.632900
2015-10,2015-10-30,sh.600031,6.7100,-157.019126,0.784892,1,-1.468400
2015-11,2015-11-30,sh.600031,6.4200,-57.890148,0.906365,1,0.000000
2015-12,2015-12-31,sh.600031,6.5800,-59.332894,0.629955,1,-1.349300
2016-01,2016-01-29,sh.600031,4.8100,-43.372526,0.557853,1,2.558600
2016-02,2016-02-29,sh.600031,4.8900,-44.093898,0.537865,1,-1.807200
2016-03,2016-03-31,sh.600031,5.6900,-51.307624,0.412587,1,0.352700
2016-04,2016-04-29,sh.600031,5.4000,197.557601,0.258317,1,-0.184800
2016-05,2016-05-31,sh.600031,5.0900,186.216331,0.474528,1,3.455300
2016-06,2016-06-30,sh.600031,5.0200,183.655399,0.227951,1,-0.396800
2016-07,2016-07-29,sh.600031,5.2100,190.606500,0.103787,1,-0.761900
2016-08,2016-08-31,sh.600031,5.2900,4937.630018,0.221349,1,-0.563900
2016-09,2016-09-30,sh.600031,5.4700,5105.642620,0.148281,1,0.736648
2016-10,2016-10-31,sh.600031,5.8800,114.871780,0.399843,1,-1.836388
2016-11,2016-11-30,sh.600031,6.5000,126.984111,0.825943,1,-4.129797
2016-12,2016-12-30,sh.600031,6.1000,119.169704,0.251977,1,0.328947
2017-01,2017-01-26,sh.600031,6.8800,135.239323,0.343675,1,1.624817
2017-02,2017-02-28,sh.600031,7.3000,143.495212,0.360278,1,0.412658
2017-03,2017-03-31,sh.600031,7.2000,141.529628,0.556503,1,-1.504790
2017-04,2017-04-28,sh.600031,7.0300,62.672326,0.684159,1,-0.142042
2017-05,2017-05-31,sh.600031,6.9000,61.513378,0.426500,1,-0.144714
2017-06,2017-06-30,sh.600031,8.1300,72.478845,0.850256,1,-0.489596
2017-07,2017-07-31,sh.600031,8.5100,75.866540,1.226339,1,2.777784
2017-08,2017-08-31,sh.600031,7.8300,48.832033,2.121733,1,-2.732923
2017-09,2017-09-29,sh.600031,7.6500,47.709458,0.548456,1,2.272728
2017-10,2017-10-31,sh.600031,8.2000,34.220775,0.614343,1,-0.846441
2017-11,2017-11-30,sh.600031,9.0100,37.654519,2.190296,1,-1.206137
2017-12,2017-12-29,sh.600031,9.0700,37.967072,1.355428,1,-0.110135
2018-01,2018-01-31,sh.600031,9.1900,38.652450,1.606684,1,0.437158
2018-02,2018-02-28,sh.600031,8.2800,34.825059,1.699196,1,-2.816910
2018-03,2018-03-30,sh.600031,7.8600,33.058570,0.589298,1,-0.380225
2018-04,2018-04-27,sh.600031,8.7200,23.608719,0.884560,1,0.925925
2018-05,2018-05-31,sh.600031,8.0900,21.903043,0.842235,1,0.872814
2018-06,2018-06-29,sh.600031,8.9700,24.284186,1.408685,1,4.789718
2018-07,2018-07-31,sh.600031,9.2500,25.145395,1.805764,1,1.984568
2018-08,2018-08-31,sh.600031,9.0000,16.206154,0.523262,1,0.783871
2018-09,2018-09-28,sh.600031,8.8800,15.990072,0.554121,1,-0.336697
2018-10,2018-10-31,sh.600031,7.8700,11.858484,0.677041,1,2.075225
2018-11,2018-11-30,sh.600031,8.0300,12.099572,0.332086,1,1.133497
2018-12,2018-12-28,sh.600031,8.3400,12.573038,0.776550,1,-0.714279
2019-01,2019-01-31,sh.600031,9.1200,13.752757,0.761954,1,0.000000
2019-02,2019-02-28,sh.600031,10.3900,15.670796,0.817487,1,-0.096147
2019-03,2019-03-29,sh.600031,12.7800,20.692174,2.142400,1,5.970143
2019-04,2019-04-30,sh.600031,12.2500,13.091551,1.166576,1,-0.406506
2019-05,2019-05-31,sh.600031,12.0700,12.898444,1.009239,1,-2.267212
2019-06,2019-06-28,sh.600031,13.0800,13.977767,0.708558,1,1.003862
2019-07,2019-07-31,sh.600031,14.1200,15.089150,0.749600,1,-1.327700
2019-08,2019-08-30,sh.600031,13.4700,11.898255,0.917600,1,0.074300
2019-09,2019-09-30,sh.600031,14.2800,12.613740,0.394400,1,-0.902200
2019-10,2019-10-31,sh.600031,13.4700,10.908988,0.958600,1,-3.163200
2019-11,2019-11-29,sh.600031,14.4800,11.735764,0.709700,1,-2.425900
2019-12,2019-12-31,sh.600031,17.0500,13.824371,1.026400,1,1.609000
2020-01,2020-01-23,sh.600031,16.0300,12.997342,1.199100,1,-5.147900
2020-02,2020-02-28,sh.600031,17.4300,14.132481,1.682200,1,-1.525400
2020-03,2020-03-31,sh.600031,17.3000,14.027075,0.862300,1,-1.760400
2020-04,2020-04-30,sh.600031,19.6500,16.283910,0.580900,1,0.924500
2020-05,2020-05-29,sh.600031,18.3300,15.190029,0.585700,1,-0.109000
2020-06,2020-06-30,sh.600031,18.7600,15.586448,0.587200,1,0.643800
2020-07,2020-07-31,sh.600031,21.1100,17.554844,1.021300,1,-0.938500
2020-08,2020-08-31,sh.600031,22.1400,14.511988,0.886900,1,-0.939600
2020-09,2020-09-30,sh.600031,24.8900,16.314516,0.580100,1,0.606300
2020-10,2020-10-30,sh.600031,25.9500,15.260153,0.948800,1,-0.650800
2020-11,2020-11-30,sh.600031,30.7100,18.059318,1.165100,1,-1.285800
2020-12,2020-12-31,sh.600031,34.9800,20.570333,0.730900,1,1.538500
2021-01,2021-01-29,sh.600031,40.4600,23.800737,1.042100,1,0.247800
2021-02,2021-02-26,sh.600031,41.1100,24.198937,1.430100,1,-4.727700
2021-03,2021-03-31,sh.600031,34.1500,18.775314,2.950000,1,-7.777500
2021-04,2021-04-30,sh.600031,30.8800,13.997181,1.593200,1,-2.617500
2021-05,2021-05-31,sh.600031,30.2900,13.729748,1.798400,1,-0.688500
2021-06,2021-06-30,sh.600031,29.0700,13.176751,2.084200,1,4.305700
2021-07,2021-07-30,sh.600031,24.8200,11.257786,1.415100,1,-2.971100
