trade_date,stock_code,monthly_ret,mkt_ret,excess_ret
2015-02-27,sh.600436,0.023398385613568884,0.03113044,0.021898385613568883
2015-02-27,sh.600438,0.0,0.03113044,-0.0015
2015-02-27,sh.600485,0.007008216529724498,0.03113044,0.0055082165297244984
2015-02-27,sh.600518,0.36079374624173166,0.03113044,0.35929374624173166
2015-02-27,sh.600519,0.07828197313466534,0.03113044,0.07678197313466534
2015-02-27,sh.600547,-0.0011695906432748204,0.03113044,-0.0026695906432748205
2015-02-27,sh.600570,0.2944816053511705,0.03113044,0.2929816053511705
2015-02-27,sh.600585,0.027805864509605538,0.03113044,0.026305864509605537
2015-02-27,sh.600588,0.1700940070505288,0.03113044,0.1685940070505288
2015-02-27,sh.600606,0.07570422535211252,0.03113044,0.07420422535211252
2015-02-27,sh.600637,0.06570996978851973,0.03113044,0.06420996978851973
2015-02-27,sh.600690,0.024561403508772006,0.03113044,0.023061403508772005
2015-02-27,sh.600703,0.014117647058823568,0.03113044,0.012617647058823568
2015-02-27,sh.600745,0.0,0.03113044,-0.0015
2015-02-27,sh.600795,-0.0374064837905238,0.03113044,-0.038906483790523805
2015-02-27,sh.600809,-0.053928405392840606,0.03113044,-0.05542840539284061
2015-02-27,sh.600837,0.09511826874685458,0.03113044,0.09361826874685458
2015-02-27,sh.600887,0.03443223443223431,0.03113044,0.03293223443223431
2015-02-27,sh.600893,0.0486867392696988,0.03113044,0.047186739269698796
2015-02-27,sh.600900,-0.014734774066797574,0.03113044,-0.016234774066797575
2015-02-27,sh.600999,0.1854219948849105,0.03113044,0.1839219948849105
2015-02-27,sh.601006,0.00470809792843685,0.03113044,0.0032080979284368496
2015-02-27,sh.601012,0.07272727272727275,0.03113044,0.07122727272727275
2015-02-27,sh.601088,-0.023622047244094557,0.03113044,-0.02512204724409456
2015-02-27,sh.601111,0.02730819245773719,0.03113044,0.02580819245773719
2015-02-27,sh.601118,-0.0448577680525164,0.03113044,-0.0463577680525164
2015-02-27,sh.601166,-0.015894955079474804,0.03113044,-0.017394955079474805
2015-02-27,sh.601169,0.0067502410800386325,0.03113044,0.005250241080038633
2015-02-27,sh.601186,0.04192073170731714,0.03113044,0.04042073170731714
2015-02-27,sh.601225,0.00830564784053145,0.03113044,0.00680564784053145
2015-02-27,sh.601288,-0.03468208092485536,0.03113044,-0.036182080924855364
2015-02-27,sh.601318,0.01428777601385467,0.03113044,0.01278777601385467
2015-02-27,sh.601328,-0.024077046548956593,0.03113044,-0.025577046548956595
2015-02-27,sh.601336,0.0,0.03113044,-0.0015
2015-02-27,sh.601360,0.0667340748230536,0.03113044,0.0652340748230536
2015-02-27,sh.601377,0.1412698412698412,0.03113044,0.1397698412698412
2015-02-27,sh.601390,0.05405405405405417,0.03113044,0.05255405405405417
2015-02-27,sh.601398,0.008810572687224738,0.03113044,0.0073105726872247385
2015-02-27,sh.601601,0.029931158335827712,0.03113044,0.02843115833582771
2015-02-27,sh.601628,0.03824833702882491,0.03113044,0.03674833702882491
2015-02-27,sh.601633,0.10564334085778793,0.03113044,0.10414334085778792
2015-02-27,sh.601668,0.09013605442176864,0.03113044,0.08863605442176864
2015-02-27,sh.601669,0.16212338593974174,0.03113044,0.16062338593974174
2015-02-27,sh.601688,0.08961593172119486,0.03113044,0.08811593172119486
2015-02-27,sh.601766,-0.035031847133757954,0.03113044,-0.036531847133757955
2015-02-27,sh.601788,0.06328024106758501,0.03113044,0.06178024106758501
2015-02-27,sh.601800,0.14759535655058031,0.03113044,0.1460953565505803
2015-02-27,sh.601818,-0.014388489208633226,0.03113044,-0.015888489208633227
2015-02-27,sh.601857,-0.018900343642611617,0.03113044,-0.020400343642611618
2015-02-27,sh.601888,0.09507271543303664,0.03113044,0.09357271543303664
2015-02-27,sh.601899,-0.011142061281337101,0.03113044,-0.0126420612813371
2015-02-27,sh.601901,0.09535655058043124,0.03113044,0.09385655058043124
2015-02-27,sh.601919,-0.03576982892690517,0.03113044,-0.03726982892690517
2015-02-27,sh.601939,-0.027350427350427475,0.03113044,-0.028850427350427477
2015-02-27,sh.601988,-0.06590909090909092,0.03113044,-0.06740909090909092
